482450AF4BF0A3EB8430CF736839ECB72642B17857C75FAA777F02E3F24756EF 1045 467 232 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
8CB34D76D445E6E3F39CF7B824CCE20C57E7A65A6FECD04D5016F12ECC3D64AB 1045 467 232 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
00044E4AD762EB5C5B63BD4715FD7D51FCD690A102E54CA373C9B61D8ECFC4E9 10583 2874 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
00166FDC2930539667A81D08FEEEF5067254C7B8AB6D310B4797B4168FB6FC61 11210 3140 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
001BA373EAD133018F135315EFC5FC5B90B3EEE03D668B480A0EA3C6612FD52F 23616 8152 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
00273A2134E3C7E64D1F8FCFC620C35017289CA304941E5B94C786C6B997E4B9 11497 3438 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
003006B29FEAEF1A0B8371B1EA49154DF52CEC999657593188DA91C21CA9F18B 12552 4123 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
0033CD566E1A0EA5A4666775E8C33B991A26B940427BEE9A7B7C17A9A5213963 1045 467 232 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
003CA6B8F708834F5262550863B97AB849AF4A7133CE0C6A446F82887EE736B1 18542 6193 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
003FCA56D3EEF2688714AF73AE4342A2035D8C5EDE7974BBCDEB1DAB3A8D4AC6 1337 395 232 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
0053A59FD634AC1A31B2409F3E4522CC1232FC4579E1E2D2E2CC260FF9A61623 10954 2896 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
A72884CB2923741B189F79898469268110D9F30B45D410A23B90455F8726EEC3 11340 3402 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
A72F54ABD1F24B5336410C92C1E4D561FE4A742E3DFD937F097C7D9DC13F1EC1 1052 474 232 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
A74114B51E1D997E5F5AD53E5782810B0B4324F2E940386C7129817E9B074679 19013 8100 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
A75619E59068999D6E416C5D9D31F67E2EB13B6E6CF00DE7CFE67C28B61467DC 12015 3395 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
A7746D3DFA050FE23A2B0DD57F60B04DE0DA4CB8FA16805A9C803C5E54819BA3 3980 1794 232 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
A77BF7854720821531567C9FB94E49C0B77CF2C55FCE814665B2E967CAAEE044 20603 7113 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
A77C6BA00BB96E410BD8FFEC04429469316FCA551946BDEEFA77E555D7FFB12B 20836 7346 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
A77F02AE859DA3EC9712D63F6F83D7C454CF8EC011AF8B893B56A26FD12DA765 11268 3180 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
A78B38F9744F883CD1B52A46637D41E45D310FE5B4AB834B2A84D56EA7467B1B 16583 5323 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
3C24B2CC55F19F2E97AE584031BDCAE82B9DC218E3F7B721BC3E401B8D420D45 13290 3926 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
3C4D35A891412DE9A4763E94E766ED59F6C64B9A4AAD7B55BADB5AF6060A8258 758 135 231 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
3C58A55A09C297BA5D3A9443AE3A52A7C2E400B5982CF22B63132CD37125B0B2 692 332 231 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
3C86C561772C432BD233C00637FA19C6D1CF8C4736E4D85F00A26C64DE52D01B 26246 9248 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
3C8F5BC0678926634921D7431C0B8E6062A7C72DBB492C00F820013BF25BF064 21240 7316 233 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
3CBB588170092DAE5582A9D3BB6C8A4036F21EBFB8DE98DCF537599D4A0525A1 1045 467 232 ['org.apache.tika.parser.DefaultParser\n', 'org.apache.tika.parser.xml.DcXMLParser\n']
